-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us       1.079ms         0.78%       1.079ms      51.381us           0 b           0 b           0 b           0 b            21  
void at::native::(anonymous namespace)::RowwiseMomen...         0.00%       0.000us         0.00%       0.000us       0.000us       1.010ms         0.73%       1.010ms      63.125us           0 b           0 b           0 b           0 b            16  
void at::native::(anonymous namespace)::ComputeFused...         0.00%       0.000us         0.00%       0.000us       0.000us      69.000us         0.05%      69.000us       4.312us           0 b           0 b           0 b           0 b            16  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     877.000us         0.63%     877.000us      54.812us           0 b           0 b           0 b           0 b            16  
                       Memcpy HtoD (Pageable -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us     479.000us         0.35%     479.000us      68.429us           0 b           0 b           0 b           0 b             7  
void vector_fft_r2c<64u, 8u, 8u, 32u, (padding_t)0, ...         0.00%       0.000us         0.00%       0.000us       0.000us     627.000us         0.45%     627.000us      62.700us           0 b           0 b           0 b           0 b            10  
void regular_fft<64u, 8u, 32u, 6u, (padding_t)0, (tw...         0.00%       0.000us         0.00%       0.000us       0.000us       1.036ms         0.75%       1.036ms      51.800us           0 b           0 b           0 b           0 b            20  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     478.000us         0.34%     478.000us      47.800us           0 b           0 b           0 b           0 b            10  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us      14.116ms        10.17%      14.116ms     217.169us           0 b           0 b           0 b           0 b            65  
void gemmSN_NN_kernel<float, 128, 2, 4, 8, 4, 4, fal...         0.00%       0.000us         0.00%       0.000us       0.000us       5.103ms         3.68%       5.103ms     255.150us           0 b           0 b           0 b           0 b            20  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     421.000us         0.30%     421.000us      42.100us           0 b           0 b           0 b           0 b            10  
void vector_fft_c2r<64u, 8u, 8u, 24u, (padding_t)0, ...         0.00%       0.000us         0.00%       0.000us       0.000us     464.000us         0.33%     464.000us      46.400us           0 b           0 b           0 b           0 b            10  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     382.000us         0.28%     382.000us      63.667us           0 b           0 b           0 b           0 b             6  
                                   cudaFuncSetAttribute         0.00%       8.000us         0.00%       8.000us       0.615us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            13  
          cudaOccupancyMaxActiveBlocksPerMultiprocessor         0.00%      10.000us         0.00%      10.000us       0.526us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            19  
void cudnn::ops::nchwToNhwcKernel<float, float, floa...         0.00%       0.000us         0.00%       0.000us       0.000us     245.000us         0.18%     245.000us      27.222us           0 b           0 b           0 b           0 b             9  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 1.795s
Self CUDA time total: 138.779ms

